sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-01-19;"4,409.12";"4,369.63";"4,379.14";;1;
2026-01-16;"4,470.85";"4,435.60";"4,469.72";;1;
2026-01-15;"4,451.71";"4,391.21";"4,450.97";;1;
2026-01-14;"4,382.34";"4,327.40";"4,349.89";;1;
2026-01-13;"4,388.04";"4,329.49";"4,364.86";;1;
2026-01-12;"4,405.12";"4,367.99";"4,383.26";;1;
2026-01-09;"4,366.63";"4,305.97";"4,366.63";;1;
2026-01-08;"4,341.62";"4,284.65";"4,296.58";;1;
2026-01-07;"4,341.05";"4,261.82";"4,340.48";;1;
2026-01-05;"4,235.05";"4,181.77";"4,211.37";;1;
2026-01-02;"4,176.80";"4,134.59";"4,163.89";;1;
2025-12-30;"4,174.28";"4,132.03";"4,161.86";;1;
2025-12-29;"4,150.94";"4,117.44";"4,141.54";;1;
2025-12-23;"4,135.85";"4,113.85";"4,122.55";;1;
2025-12-22;"4,118.95";"4,089.42";"4,115.80";;1;
2025-12-19;"4,112.70";"4,090.75";"4,105.14";;1;
2025-12-18;"4,101.48";"4,034.40";"4,100.14";;1;
2025-12-17;"4,101.26";"4,031.86";"4,035.93";;1;
2025-12-16;"4,116.49";"4,085.14";"4,095.09";;1;
2025-12-15;"4,152.59";"4,124.55";"4,138.40";;1;
2025-12-12;"4,182.94";"4,127.95";"4,131.47";;1;
2025-12-11;"4,137.78";"4,087.56";"4,128.25";;1;
2025-12-10;"4,101.42";"4,081.30";"4,096.32";;1;
2025-12-09;"4,153.68";"4,102.17";"4,106.94";;1;
2025-12-08;"4,165.10";"4,133.54";"4,143.42";;1;
2025-12-05;"4,162.44";"4,133.27";"4,147.44";;1;
2025-12-04;"4,133.06";"4,075.48";"4,125.31";;1;
2025-12-03;"4,051.52";"4,014.70";"4,032.97";;1;
2025-12-02;"4,048.35";"4,030.17";"4,033.63";;1;
2025-12-01;"4,057.59";"4,018.29";"4,046.02";;1;
2025-11-28;"4,061.81";"4,036.95";"4,061.81";;1;
2025-11-27;"4,052.80";"4,030.79";"4,046.02";;1;
2025-11-26;"4,034.05";"4,009.62";"4,022.16";;1;
2025-11-25;"4,012.98";"3,943.11";"4,003.98";;1;
2025-11-24;"3,961.23";"3,930.63";"3,943.68";;1;
2025-11-21;"3,919.49";"3,851.76";"3,909.83";;1;
2025-11-20;"3,965.01";"3,925.10";"3,925.10";;1;
2025-11-19;"3,935.57";"3,888.68";"3,908.73";;1;
2025-11-18;"3,936.50";"3,877.60";"3,890.70";;1;
2025-11-17;"4,035.52";"3,992.15";"3,992.15";;1;
2025-11-14;"4,020.49";"3,968.83";"4,013.80";;1;
2025-11-13;"4,123.01";"4,046.85";"4,047.03";;1;
2025-11-12;"4,113.95";"4,078.31";"4,106.07";;1;
2025-11-11;"4,080.62";"4,032.95";"4,077.46";;1;
2025-11-10;"4,045.83";"4,020.26";"4,031.02";;1;
2025-11-07;"4,018.18";"3,957.16";"3,985.41";;1;
2025-11-06;"4,031.31";"3,995.66";"4,000.77";;1;
2025-11-05;"4,056.89";"3,990.61";"4,040.01";;1;
2025-11-04;"4,037.24";"3,993.94";"4,018.08";;1;
2025-11-03;"4,092.37";"4,054.56";"4,054.56";;1;
2025-10-31;"4,114.46";"4,087.72";"4,097.68";;1;
2025-10-30;"4,140.62";"4,115.83";"4,124.34";;1;
2025-10-29;"4,151.00";"4,115.69";"4,126.96";;1;
2025-10-28;"4,174.40";"4,150.40";"4,161.71";;1;
2025-10-27;"4,198.66";"4,175.68";"4,189.46";;1;
2025-10-24;"4,176.32";"4,122.05";"4,171.55";;1;
2025-10-23;"4,097.85";"4,062.61";"4,095.87";;1;
2025-10-22;"4,084.24";"4,052.45";"4,059.57";;1;
2025-10-21;"4,072.85";"4,029.13";"4,072.85";;1;
2025-10-20;"4,031.06";"3,975.51";"4,029.67";;1;
2025-10-17;"4,000.60";"3,944.76";"3,960.58";;1;
2025-10-16;"4,048.60";"3,998.17";"4,044.67";;1;
2025-10-15;"4,039.16";"4,010.10";"4,025.42";;1;
2025-10-14;"3,998.85";"3,959.53";"3,998.85";;1;
2025-10-13;"4,042.16";"4,008.65";"4,028.48";;1;
