sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2025-11-07;"1,012.52";999.80;"1,004.78";;1;
2025-11-06;"1,012.49";"1,007.13";"1,007.85";;1;
2025-11-05;"1,014.76";"1,003.65";"1,011.77";;1;
2025-11-04;"1,014.45";"1,002.83";"1,011.01";;1;
2025-11-03;"1,025.78";"1,018.64";"1,018.64";;1;
2025-10-31;"1,028.69";"1,023.21";"1,024.03";;1;
2025-10-30;"1,030.27";"1,025.79";"1,029.67";;1;
2025-10-29;"1,032.07";"1,026.98";"1,027.54";;1;
2025-10-28;"1,035.77";"1,030.03";"1,032.50";;1;
2025-10-27;"1,038.73";"1,033.12";"1,037.85";;1;
2025-10-24;"1,034.53";"1,026.42";"1,033.61";;1;
2025-10-23;"1,022.66";"1,015.46";"1,022.59";;1;
2025-10-22;"1,017.09";"1,012.31";"1,014.60";;1;
2025-10-21;"1,016.64";"1,008.02";"1,016.64";;1;
2025-10-20;"1,009.14";999.78;"1,009.14";;1;
2025-10-17;"1,001.77";989.33;997.09;;1;
2025-10-16;"1,011.17";"1,004.71";"1,010.39";;1;
2025-10-15;"1,009.88";"1,004.75";"1,007.62";;1;
2025-10-14;"1,001.44";992.19;"1,001.44";;1;
2025-10-13;"1,004.00";996.53;"1,000.62";;1;
2025-10-10;"1,013.27";997.64;997.64;;1;
2025-10-09;"1,014.24";"1,005.91";"1,007.97";;1;
2025-10-08;"1,011.64";"1,005.32";"1,009.15";;1;
2025-10-07;"1,012.03";"1,005.29";"1,005.37";;1;
2025-10-06;"1,015.02";"1,004.97";"1,012.21";;1;
2025-10-03;"1,007.16";"1,002.21";"1,007.16";;1;
2025-10-02;"1,002.79";996.17;998.13;;1;
2025-10-01;989.99;981.15;988.81;;1;
2025-09-30;985.05;976.80;985.05;;1;
2025-09-29;984.04;976.98;980.90;;1;
2025-09-26;979.94;970.86;977.76;;1;
2025-09-25;980.19;970.54;971.34;;1;
2025-09-24;988.40;979.95;980.30;;1;
2025-09-23;993.50;984.77;991.12;;1;
2025-09-22;988.13;982.09;984.18;;1;
2025-09-19;991.63;983.64;986.43;;1;
2025-09-18;988.76;981.16;985.84;;1;
2025-09-17;982.28;977.30;977.30;;1;
2025-09-16;989.51;975.89;976.04;;1;
2025-09-15;992.63;982.83;984.43;;1;
2025-09-12;987.27;980.45;982.87;;1;
2025-09-11;985.43;976.57;982.30;;1;
2025-09-10;987.78;979.62;980.11;;1;
2025-09-09;988.38;979.04;981.79;;1;
2025-09-08;984.85;977.81;984.07;;1;
2025-09-05;983.51;975.57;978.67;;1;
2025-09-04;972.80;968.03;970.48;;1;
2025-09-03;972.26;963.56;967.80;;1;
2025-09-02;983.80;961.24;961.24;;1;
2025-09-01;987.01;981.05;982.70;;1;
2025-08-29;988.82;980.91;981.18;;1;
2025-08-28;996.33;987.30;988.62;;1;
2025-08-27;994.69;987.05;990.17;;1;
2025-08-26;998.51;992.58;993.35;;1;
2025-08-25;"1,004.79";998.31;998.71;;1;
2025-08-22;"1,005.57";988.33;"1,005.57";;1;
2025-08-21;992.47;986.74;989.26;;1;
2025-08-20;994.04;987.16;992.00;;1;
2025-08-19;994.72;981.08;993.52;;1;
2025-08-18;986.49;978.04;980.29;;1;
2025-08-15;988.48;983.78;984.40;;1;
2025-08-14;984.37;977.29;982.61;;1;
2025-08-13;980.80;975.27;978.06;;1;
2025-08-12;980.32;973.97;977.94;;1;
2025-08-11;981.30;973.44;973.59;;1;
