sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-04-21;"4,323.95";"4,273.90";"4,280.33";;1;
2026-04-20;"4,299.33";"4,263.77";"4,282.77";;1;
2026-04-17;"4,331.15";"4,242.95";"4,328.58";;1;
2026-04-16;"4,270.07";"4,233.56";"4,249.19";;1;
2026-04-15;"4,270.39";"4,238.92";"4,262.49";;1;
2026-04-14;"4,245.44";"4,201.14";"4,243.65";;1;
2026-04-13;"4,196.43";"4,128.27";"4,195.39";;1;
2026-04-10;"4,199.23";"4,135.42";"4,178.77";;1;
2026-04-09;"4,123.77";"4,092.10";"4,118.80";;1;
2026-04-08;"4,181.25";"4,132.26";"4,143.70";;1;
2026-04-07;"4,066.47";"3,980.74";"3,999.78";;1;
2026-04-02;"4,031.23";"3,999.79";"4,007.28";;1;
2026-04-01;"4,097.20";"4,041.88";"4,071.30";;1;
2026-03-31;"4,003.85";"3,938.03";"3,974.47";;1;
2026-03-30;"3,932.39";"3,833.67";"3,923.46";;1;
2026-03-27;"3,893.21";"3,839.18";"3,867.43";;1;
2026-03-26;"3,901.40";"3,863.76";"3,887.91";;1;
2026-03-25;"3,965.60";"3,922.56";"3,961.56";;1;
2026-03-24;"3,945.91";"3,888.66";"3,939.43";;1;
2026-03-23;"3,992.89";"3,801.05";"3,926.97";;1;
2026-03-20;"4,029.50";"3,913.31";"3,913.31";;1;
2026-03-19;"4,029.44";"3,979.16";"3,983.41";;1;
2026-03-18;"4,150.11";"4,067.02";"4,083.30";;1;
2026-03-17;"4,113.76";"4,056.11";"4,084.93";;1;
2026-03-16;"4,088.71";"4,026.06";"4,067.99";;1;
2026-03-13;"4,105.67";"4,014.49";"4,044.62";;1;
2026-03-12;"4,101.02";"4,038.88";"4,058.91";;1;
2026-03-11;"4,128.49";"4,082.87";"4,097.09";;1;
2026-03-10;"4,168.14";"4,116.19";"4,147.44";;1;
2026-03-09;"4,058.84";"3,972.80";"4,042.38";;1;
2026-03-06;"4,175.87";"4,050.68";"4,091.76";;1;
2026-03-05;"4,198.36";"4,134.36";"4,137.58";;1;
2026-03-04;"4,180.13";"4,087.84";"4,163.70";;1;
2026-03-03;"4,124.38";"4,044.61";"4,087.72";;1;
2026-03-02;"4,196.99";"4,126.52";"4,187.68";;1;
2026-02-27;"4,291.33";"4,245.52";"4,264.18";;1;
2026-02-26;"4,283.60";"4,255.06";"4,271.18";;1;
2026-02-25;"4,255.98";"4,221.94";"4,236.75";;1;
2026-02-24;"4,216.75";"4,171.87";"4,199.98";;1;
2026-02-23;"4,245.80";"4,186.33";"4,190.74";;1;
2026-02-20;"4,249.61";"4,203.43";"4,245.11";;1;
2026-02-19;"4,254.63";"4,207.10";"4,207.10";;1;
2026-02-18;"4,252.83";"4,209.33";"4,247.48";;1;
2026-02-17;"4,196.20";"4,154.46";"4,194.26";;1;
2026-02-16;"4,197.35";"4,166.88";"4,173.79";;1;
2026-02-13;"4,182.88";"4,121.09";"4,140.60";;1;
2026-02-12;"4,244.97";"4,175.24";"4,175.50";;1;
2026-02-11;"4,263.90";"4,213.63";"4,226.50";;1;
2026-02-10;"4,285.51";"4,262.43";"4,262.43";;1;
2026-02-09;"4,273.81";"4,227.69";"4,263.10";;1;
2026-02-06;"4,241.61";"4,162.36";"4,223.77";;1;
2026-02-05;"4,253.16";"4,161.86";"4,178.08";;1;
2026-02-04;"4,275.26";"4,204.12";"4,256.24";;1;
2026-02-03;"4,302.23";"4,213.60";"4,224.03";;1;
2026-02-02;"4,261.15";"4,133.20";"4,251.13";;1;
2026-01-30;"4,222.45";"4,175.07";"4,182.34";;1;
2026-01-29;"4,237.71";"4,179.21";"4,184.67";;1;
2026-01-28;"4,260.24";"4,216.32";"4,232.58";;1;
2026-01-27;"4,248.53";"4,226.55";"4,242.78";;1;
2026-01-26;"4,234.43";"4,205.57";"4,207.56";;1;
2026-01-23;"4,244.62";"4,213.88";"4,222.07";;1;
2026-01-22;"4,298.67";"4,251.17";"4,262.90";;1;
2026-01-21;"4,199.91";"4,119.75";"4,197.81";;1;
2026-01-20;"4,187.52";"4,129.76";"4,182.84";;1;
